subcatchment_id,rain_gage_id,outlet_node,area,impervious_percent,width,slope,curb_length,snow_pack,polygon_points,subarea_params,infiltration_params,model_version,is_added
G72F317_7959,rg5425,G72F317,0.198,11.86,22.349,0.03,0.0,,"[[""583098.189"", ""6132912.926""], [""583063.745"", ""6132866.719""], [""583060.255"", ""6132872.690""], [""583037.877"", ""6132877.654""], [""583038.464"", ""6132880.913""], [""583043.658"", ""6132903.666""], [""583044.544"", ""6132907.551""], [""583052.167"", ""6132924.340""], [""583052.108"", ""6132924.361""], [""583052.456"", ""6132924.289""], [""583068.631"", ""6132920.888""], [""583097.401"", ""6132914.836""], [""583098.189"", ""6132912.926""]]","[""G72F317_7959"", ""0.000973044738296467"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F317_7959"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F317_7960,rg5425,G72F317,0.165,44.39000000000001,18.932,0.03,0.0,,"[[""583127.645"", ""6132899.104""], [""583085.480"", ""6132841.302""], [""583060.630"", ""6132841.349""], [""583062.867"", ""6132844.539""], [""583066.797"", ""6132851.776""], [""583106.731"", ""6132905.553""], [""583110.779"", ""6132911.003""], [""583127.645"", ""6132899.104""]]","[""G72F317_7960"", ""0.000824273255422109"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F317_7960"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F317_7961,rg5425,G72F317,0.095,74.94,16.004,0.03,0.0,,"[[""583106.731"", ""6132905.553""], [""583066.797"", ""6132851.776""], [""583062.867"", ""6132844.539""], [""583060.630"", ""6132841.360""], [""583046.519"", ""6132843.910""], [""583046.508"", ""6132843.912""], [""583063.745"", ""6132866.719""], [""583098.189"", ""6132912.926""], [""583106.731"", ""6132905.553""]]","[""G72F317_7961"", ""0.0006967921603515441"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F317_7961"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F317_7962,rg5425,G72F317,0.103,33.87,31.615,0.03,0.0,,"[[""583037.877"", ""6132877.654""], [""583060.255"", ""6132872.690""], [""583063.745"", ""6132866.719""], [""583046.508"", ""6132843.912""], [""583021.605"", ""6132843.765""], [""583029.258"", ""6132879.181""], [""583037.877"", ""6132877.654""]]","[""G72F317_7962"", ""0.0013764736409343954"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F317_7962"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F320_7963,rg5425,G72F320,0.077,38.15,11.264,0.03,0.0,,"[[""583247.781"", ""6133096.067""], [""583231.909"", ""6133081.580""], [""583215.820"", ""6133086.260""], [""583222.124"", ""6133114.719""], [""583223.631"", ""6133114.477""], [""583235.020"", ""6133111.947""], [""583243.625"", ""6133110.100""], [""583246.339"", ""6133109.373""], [""583248.382"", ""6133108.549""], [""583250.255"", ""6133107.611""], [""583251.022"", ""6133105.613""], [""583251.246"", ""6133103.907""], [""583250.787"", ""6133101.905""], [""583250.001"", ""6133099.666""], [""583247.652"", ""6133096.242""], [""583247.781"", ""6133096.067""]]","[""G72F320_7963"", ""0.0004904190761184573"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F320_7963"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F320_7964,rg5425,G72F320,0.051,82.47,27.952,0.03,0.0,,"[[""583263.302"", ""6133112.198""], [""583265.666"", ""6133111.576""], [""583270.336"", ""6133110.346""], [""583278.861"", ""6133108.182""], [""583281.546"", ""6133107.500""], [""583275.291"", ""6133101.330""], [""583270.354"", ""6133098.064""], [""583248.005"", ""6133096.271""], [""583247.781"", ""6133096.067""], [""583247.652"", ""6133096.242""], [""583250.001"", ""6133099.666""], [""583250.787"", ""6133101.905""], [""583251.246"", ""6133103.907""], [""583251.022"", ""6133105.613""], [""583250.255"", ""6133107.611""], [""583248.382"", ""6133108.549""], [""583246.339"", ""6133109.373""], [""583243.625"", ""6133110.100""], [""583235.020"", ""6133111.947""], [""583223.631"", ""6133114.477""], [""583222.124"", ""6133114.719""], [""583222.912"", ""6133118.277""], [""583263.302"", ""6133112.198""]]","[""G72F320_7964"", ""0.0012169916562200925"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F320_7964"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F330_7965,rg5425,G72F330,0.168,34.11,38.339,0.03,0.0,,"[[""583222.124"", ""6133114.719""], [""583215.820"", ""6133086.260""], [""583186.597"", ""6133097.670""], [""583177.581"", ""6133098.497""], [""583150.513"", ""6133101.952""], [""583152.683"", ""6133125.813""], [""583153.635"", ""6133125.661""], [""583191.694"", ""6133119.432""], [""583204.050"", ""6133117.617""], [""583222.124"", ""6133114.719""]]","[""G72F330_7965"", ""0.001669227357892892"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F330_7965"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F331_7966,rg5425,G72F331,0.078,23.31,17.451,0.03,0.0,,"[[""583215.820"", ""6133086.260""], [""583231.909"", ""6133081.580""], [""583219.370"", ""6133068.532""], [""583213.298"", ""6133062.213""], [""583184.794"", ""6133087.643""], [""583177.581"", ""6133098.497""], [""583186.597"", ""6133097.670""], [""583215.820"", ""6133086.260""]]","[""G72F331_7966"", ""0.0007597925512556108"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F331_7966"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F332_7967,rg5425,G72F332,0.209,33.13000000000001,53.159,0.03,0.0,,"[[""583150.513"", ""6133101.952""], [""583177.581"", ""6133098.497""], [""583184.794"", ""6133087.643""], [""583152.635"", ""6133047.976""], [""583150.352"", ""6133059.953""], [""583116.169"", ""6133069.273""], [""583123.890"", ""6133083.422""], [""583135.486"", ""6133103.655""], [""583150.513"", ""6133101.952""]]","[""G72F332_7967"", ""0.00231446978581153"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F332_7967"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F333_7968,rg5425,G72F333,0.162,26.94,39.108,0.03,0.0,,"[[""583152.635"", ""6133047.976""], [""583147.162"", ""6133038.995""], [""583137.487"", ""6133025.042""], [""583135.078"", ""6133023.659""], [""583095.815"", ""6133036.872""], [""583116.169"", ""6133069.273""], [""583150.352"", ""6133059.953""], [""583152.635"", ""6133047.976""]]","[""G72F333_7968"", ""0.0017027085607990617"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F333_7968"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
