forecast_time,target_time,rain_gage_id,forecast_horizon_min,forecast_rainfall_mm,source
2017-06-29,2017-06-29 02:55:00,rg5425,175,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:56:00,rg5425,176,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:57:00,rg5425,177,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:58:00,rg5425,178,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:59:00,rg5425,179,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:00:00,rg5425,180,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:01:00,rg5425,181,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:02:00,rg5425,182,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:03:00,rg5425,183,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:04:00,rg5425,184,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:05:00,rg5425,185,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:06:00,rg5425,186,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:07:00,rg5425,187,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:08:00,rg5425,188,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:09:00,rg5425,189,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:10:00,rg5425,190,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:11:00,rg5425,191,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:12:00,rg5425,192,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:13:00,rg5425,193,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:14:00,rg5425,194,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:15:00,rg5425,195,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:16:00,rg5425,196,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:17:00,rg5425,197,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:18:00,rg5425,198,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:19:00,rg5425,199,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:20:00,rg5425,200,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:21:00,rg5425,201,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:22:00,rg5425,202,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:23:00,rg5425,203,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:24:00,rg5425,204,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:25:00,rg5425,205,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:26:00,rg5425,206,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:27:00,rg5425,207,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:28:00,rg5425,208,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:29:00,rg5425,209,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:30:00,rg5425,210,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:31:00,rg5425,211,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:32:00,rg5425,212,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:33:00,rg5425,213,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:34:00,rg5425,214,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:35:00,rg5425,215,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:36:00,rg5425,216,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:37:00,rg5425,217,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:38:00,rg5425,218,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:39:00,rg5425,219,0.0,historical_window_minutely
2017-06-29,2017-06-29 03:40:00,rg5425,220,0.0,historical_window_minutely
